@RELATION data/rfMusicGenre
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE features137 NUMERIC
@ATTRIBUTE features138 NUMERIC
@ATTRIBUTE class {sad,love,classical,beach}

@DATA
0.038652,0.081525,3.132260,0.104323,0.156424,0.199668,0.008906,0.052205,-22.540268,2.427073,-0.112323,0.349480,0.056004,0.076879,-0.074308,0.114444,0.158727,0.117140,-0.106472,0.023799,-0.014659,0.017698,0.005491,0.053548,0.011736,0.023702,0.005375,0.058850,0.001512,0.007880,0.008575,0.051542,0.008680,0.029076,-0.000027,0.000070,-0.000328,0.000011,0.000078,-0.000340,0.000012,-0.000092,-0.000151,0.002011,-0.000549,-0.000672,0.000539,-0.000806,0.000691,0.000340,-0.000823,0.000355,0.000513,-0.000345,0.000674,0.000027,-0.000008,0.000156,0.000000,-0.000025,-0.000010,-0.000032,-0.000003,-0.000002,0.000025,-0.000043,-0.000029,0.000014,0.021823,0.102563,0.311422,0.031203,0.025779,0.205770,0.008784,0.040208,0.690671,0.480548,0.350258,0.294847,0.245895,0.272232,0.244749,0.241294,0.222400,0.211584,0.214714,0.207308,0.200495,0.014174,0.007022,0.038163,0.012102,0.017455,0.006187,0.051444,0.002159,0.007034,0.006873,0.034602,0.009729,0.013559,0.024539,0.130365,0.460502,0.033708,0.031799,0.229999,0.009239,0.044258,0.769526,0.538493,0.306937,0.299906,0.292378,0.291793,0.305099,0.294007,0.271422,0.245035,0.260842,0.241717,0.228918,0.017164,0.008186,0.039953,0.015807,0.019155,0.008773,0.051553,0.002569,0.006711,0.008518,0.045653,0.009189,0.014006,100.000000,0.105490,sad
0.052951,0.035924,3.025216,0.120798,0.159713,0.391355,0.014811,0.077418,-27.704261,2.268911,-0.116218,0.056659,-0.048674,-0.258049,-0.216168,-0.251341,-0.138963,-0.218072,-0.015568,0.151045,-0.036662,0.021359,0.005857,0.029284,0.020141,0.016459,0.012447,0.058634,0.004105,0.011053,0.015043,0.017895,0.007850,0.028432,0.000082,-0.000000,0.001507,0.000052,-0.000104,0.000816,0.000003,0.000139,-0.013347,-0.006223,-0.001472,-0.000636,-0.000783,-0.000364,-0.000645,0.000380,-0.000411,-0.000055,0.000077,-0.000314,-0.001151,-0.000005,0.000009,-0.000193,-0.000002,0.000199,-0.000026,-0.000359,0.000001,-0.000009,-0.000010,-0.000029,-0.000001,-0.000051,0.038830,0.085647,0.400039,0.046036,0.034611,0.410633,0.017456,0.072070,2.526188,0.858912,0.686556,0.472386,0.367682,0.362313,0.316821,0.291528,0.248821,0.263327,0.256551,0.275578,0.238156,0.023506,0.008272,0.031792,0.019877,0.016081,0.014092,0.066880,0.007548,0.010780,0.017659,0.020137,0.009675,0.017397,0.039573,0.091635,0.572982,0.046970,0.043095,0.418310,0.018052,0.075703,2.416054,0.963698,0.622419,0.472649,0.405983,0.361122,0.328895,0.324006,0.290161,0.294283,0.287872,0.290654,0.260078,0.026278,0.009310,0.035055,0.020644,0.017734,0.015961,0.070541,0.009231,0.010076,0.019293,0.024928,0.010764,0.019885,200.000000,0.077951,sad
0.028387,0.067569,3.109725,0.097892,0.163812,0.140730,0.008893,0.038447,-23.785318,2.840117,-0.284090,0.128451,-0.294956,-0.121677,-0.044871,0.079724,-0.095814,0.030087,0.047791,0.043231,-0.018691,0.019803,0.003476,0.060172,0.009069,0.016348,0.031559,0.099777,0.001391,0.008135,0.014468,0.018990,0.003709,0.041652,-0.000054,-0.000015,-0.000184,-0.000087,-0.000007,-0.000493,0.000009,-0.000060,-0.006564,0.004131,0.001628,0.000674,0.000257,-0.000497,0.000051,-0.000069,-0.000123,-0.000363,-0.000140,-0.000012,0.000379,-0.000007,-0.000004,-0.000018,-0.000010,0.000004,0.000160,0.000081,-0.000014,-0.000013,0.000092,-0.000026,-0.000002,0.000047,0.020658,0.068156,0.169910,0.031668,0.030760,0.185471,0.007905,0.039810,0.950178,0.518147,0.445671,0.304343,0.274772,0.292493,0.245514,0.242746,0.202977,0.206683,0.199436,0.195920,0.176670,0.018135,0.003658,0.057919,0.009677,0.014045,0.034611,0.077854,0.002285,0.008591,0.012246,0.017257,0.004441,0.020184,0.020641,0.048465,0.226955,0.035492,0.036533,0.208860,0.009912,0.046297,0.846518,0.512267,0.363615,0.305744,0.271625,0.268653,0.267301,0.256219,0.223032,0.227440,0.220158,0.216133,0.195815,0.016736,0.004432,0.044927,0.011436,0.016738,0.027292,0.066123,0.002797,0.009145,0.012802,0.022426,0.005616,0.016021,133.333333,0.098837,sad
0.038188,0.131880,3.185530,0.137275,0.184005,0.267538,0.005393,0.042511,-22.289758,1.819424,-0.032553,0.292939,0.114575,0.111861,-0.021884,0.065379,0.423356,0.365287,0.081478,-0.000587,0.015215,0.007688,0.002055,0.120435,0.002076,0.007804,0.001986,0.153043,0.001553,0.001854,0.013612,0.038593,0.005872,0.062236,0.000029,0.000035,0.000093,0.000053,0.000034,0.000099,0.000016,-0.000003,0.000023,0.000036,-0.000999,-0.001501,-0.000657,-0.000387,-0.000450,-0.000004,0.001226,0.000204,0.001112,-0.000222,-0.000564,0.000031,0.000001,-0.000155,0.000000,0.000003,-0.000001,-0.000005,-0.000004,0.000001,0.000005,-0.000001,0.000102,-0.000040,0.018905,0.064532,0.102798,0.028292,0.021123,0.177218,0.004140,0.029945,0.599478,0.434697,0.399738,0.331722,0.239383,0.238973,0.250399,0.261285,0.256669,0.257715,0.236248,0.206295,0.184992,0.008681,0.002909,0.056281,0.002380,0.005573,0.002140,0.069423,0.002259,0.002166,0.013695,0.033382,0.007024,0.015360,0.020986,0.082648,0.131129,0.031316,0.026749,0.180385,0.004878,0.034723,0.700786,0.471348,0.381594,0.297277,0.265208,0.242924,0.284953,0.268507,0.265141,0.261479,0.241215,0.224667,0.214933,0.009300,0.003382,0.050528,0.003116,0.007616,0.002642,0.073126,0.002804,0.002527,0.014793,0.028010,0.008224,0.017034,133.333333,0.117457,sad
0.014082,0.089007,3.205346,0.089618,0.165094,0.076060,0.005424,0.021204,-23.898791,3.359350,0.408092,0.044452,0.016010,0.038777,0.185011,0.107760,0.159884,0.145204,0.087677,0.074759,0.077992,0.005259,0.007871,0.027580,0.003914,0.007571,0.008519,0.161730,0.000386,0.001813,0.009771,0.112866,0.001042,0.061352,-0.000008,0.000043,-0.000229,-0.000059,-0.000070,-0.000045,0.000007,-0.000011,-0.002246,0.001181,0.000883,0.000329,0.000417,-0.000391,-0.000501,-0.000036,-0.000045,-0.000197,0.000094,0.000542,-0.000263,-0.000009,-0.000004,0.000026,0.000001,-0.000006,-0.000017,0.000055,-0.000000,0.000000,0.000019,-0.000028,-0.000002,-0.000004,0.009218,0.021837,0.055481,0.030756,0.036308,0.087283,0.003379,0.015557,0.923039,0.624937,0.399841,0.263428,0.257907,0.225026,0.208827,0.198695,0.174566,0.195512,0.187407,0.181253,0.184283,0.005621,0.006825,0.011648,0.004396,0.003782,0.007681,0.046312,0.000674,0.001686,0.007123,0.034738,0.001265,0.011641,0.007495,0.014622,0.058526,0.037341,0.050380,0.080417,0.004743,0.014463,0.999378,0.719831,0.383156,0.278235,0.243299,0.236953,0.229277,0.219662,0.193438,0.205115,0.207677,0.187617,0.201557,0.006868,0.006499,0.013423,0.004463,0.004586,0.007557,0.033571,0.000838,0.001727,0.006408,0.027312,0.001370,0.007206,171.428571,0.079625,sad
0.045611,0.086426,3.143404,0.127132,0.169376,0.299006,0.009568,0.053200,-22.570449,2.540568,-0.293294,0.025395,-0.212732,-0.312138,0.090002,-0.147230,0.202997,0.296423,-0.029406,0.087277,-0.116951,0.012933,0.015118,0.019319,0.007651,0.015604,0.015390,0.051513,0.001714,0.011276,0.025635,0.016151,0.012676,0.023186,0.000078,0.000002,0.000129,0.000086,-0.000020,0.000809,0.000014,0.000124,0.000334,-0.000831,0.000910,-0.001026,-0.000484,-0.000475,-0.002040,-0.000799,0.000157,-0.001424,-0.001025,0.001308,0.000523,-0.000085,-0.000022,-0.000013,0.000010,0.000042,0.000265,-0.000193,0.000000,-0.000001,-0.000006,-0.000004,0.000030,0.000024,0.019778,0.075289,0.198541,0.025920,0.021861,0.219024,0.009924,0.039104,0.911718,0.581362,0.481770,0.355828,0.337354,0.319286,0.306408,0.283622,0.302969,0.300423,0.260172,0.261305,0.233789,0.015786,0.015811,0.030408,0.009167,0.013310,0.016153,0.052942,0.002335,0.014081,0.019090,0.014273,0.013231,0.014528,0.020199,0.081366,0.283344,0.027384,0.027365,0.224525,0.009355,0.044323,1.057995,0.638329,0.460532,0.351482,0.333341,0.338247,0.326827,0.300104,0.301148,0.319591,0.268274,0.289424,0.255810,0.020707,0.017045,0.035120,0.011328,0.016794,0.018251,0.062426,0.003055,0.015210,0.023812,0.017125,0.014829,0.017403,133.333333,0.098901,sad
0.043912,0.066608,3.136744,0.146322,0.185837,0.320934,0.007046,0.070401,-24.044588,2.047012,-0.467406,0.422700,0.203099,0.125895,0.032224,-0.104583,0.011535,0.105660,0.106973,0.183009,0.021005,0.012043,0.001484,0.086986,0.008468,0.009708,0.011983,0.178283,0.001354,0.003744,0.003727,0.022132,0.002408,0.060755,0.000013,-0.000030,-0.000033,0.000113,0.000068,0.000227,0.000012,0.000009,0.002642,-0.000383,0.000999,-0.000746,-0.000585,0.000536,-0.000995,0.000079,0.000365,0.000662,-0.000286,-0.000553,0.000431,0.000003,0.000000,0.000001,0.000001,0.000014,0.000001,-0.000126,0.000000,0.000001,0.000002,0.000037,0.000000,-0.000035,0.029259,0.035012,0.171041,0.043790,0.024682,0.287503,0.006413,0.072970,1.141763,0.707886,0.439883,0.358937,0.288822,0.324391,0.284646,0.253346,0.240497,0.248819,0.228398,0.229805,0.222516,0.014535,0.001971,0.045631,0.010555,0.007352,0.014955,0.069868,0.002141,0.004327,0.004427,0.021238,0.002811,0.017002,0.030842,0.046865,0.226333,0.049335,0.029455,0.315957,0.007758,0.085285,1.389480,0.799950,0.440297,0.356610,0.317634,0.316950,0.303633,0.270894,0.255003,0.260139,0.242457,0.252818,0.254617,0.013518,0.002422,0.033870,0.010500,0.009281,0.015084,0.068945,0.002863,0.005338,0.005908,0.024731,0.003422,0.018004,133.333333,0.142857,sad
0.056758,0.107315,3.182624,0.132791,0.166890,0.456192,0.004832,0.082813,-21.608695,1.847486,0.232003,0.319166,0.037380,0.197594,-0.061370,0.076496,-0.041587,0.112493,-0.007106,0.150518,-0.029783,0.016268,0.003199,0.075345,0.006741,0.029466,0.006236,0.080108,0.003984,0.006732,0.007791,0.025953,0.005647,0.034987,-0.000016,0.000004,0.000056,-0.000053,-0.000020,-0.000434,0.000003,-0.000050,0.000336,-0.000599,-0.000721,-0.000419,0.000538,0.000412,0.001004,0.001106,0.001111,-0.000367,-0.000842,-0.000504,0.000829,0.000271,0.000002,-0.000086,-0.000001,-0.000016,-0.000006,0.000075,0.000016,-0.000047,-0.000007,-0.000056,0.000003,0.000044,0.035254,0.034799,0.104373,0.036661,0.022454,0.316816,0.002443,0.066586,0.575146,0.352681,0.394441,0.305830,0.251712,0.234401,0.263485,0.240563,0.217671,0.222863,0.226922,0.218126,0.218126,0.013856,0.004383,0.047761,0.007234,0.019112,0.007473,0.056322,0.005044,0.007422,0.007026,0.019604,0.006782,0.014526,0.029794,0.039741,0.123734,0.030746,0.026555,0.264513,0.002873,0.059561,0.490471,0.334890,0.325400,0.280560,0.264060,0.248541,0.261898,0.242539,0.226474,0.216860,0.226457,0.229728,0.212802,0.013698,0.004347,0.055939,0.009190,0.019567,0.008303,0.062790,0.005992,0.009204,0.009140,0.021631,0.006817,0.015182,92.307692,0.084393,sad
0.054111,0.080923,3.145720,0.123147,0.154621,0.473725,0.008714,0.085614,-22.262416,1.626817,0.079803,0.243607,0.114406,0.173714,0.111096,0.129646,0.065011,0.114913,0.171648,0.374151,0.127828,0.006433,0.003352,0.043394,0.005688,0.039338,0.011526,0.041580,0.003264,0.009430,0.010653,0.039626,0.005529,0.025584,0.000023,0.000061,0.000452,-0.000040,-0.000059,0.000134,0.000007,0.000048,0.002984,-0.000718,-0.000741,0.000062,-0.000438,-0.000433,-0.001064,0.001840,0.000829,0.000475,-0.000362,-0.001022,0.000089,0.000011,0.000016,-0.000001,-0.000005,0.000026,-0.000036,-0.000045,0.000003,0.000001,-0.000000,-0.000092,0.000002,-0.000017,0.028746,0.056302,0.152015,0.033325,0.025147,0.330362,0.005326,0.061424,1.147426,0.721982,0.533556,0.416686,0.339521,0.385675,0.334328,0.273240,0.269428,0.270308,0.301563,0.250199,0.248419,0.007379,0.005048,0.029179,0.007223,0.032125,0.013902,0.039226,0.005641,0.012926,0.012291,0.030096,0.008118,0.011132,0.031111,0.060618,0.214998,0.037673,0.031128,0.357749,0.005936,0.069773,1.220307,0.779297,0.522653,0.409196,0.383250,0.378347,0.357394,0.316492,0.287314,0.319823,0.350810,0.303736,0.289257,0.009244,0.005970,0.036129,0.009559,0.039402,0.017191,0.048695,0.007008,0.016376,0.016818,0.042747,0.010018,0.012380,171.428571,0.119760,sad
0.039284,0.141910,3.176194,0.146157,0.186748,0.364652,0.009205,0.050560,-22.808374,1.644600,-0.063500,0.278011,0.407621,0.226499,0.319031,0.211006,-0.022643,0.111633,0.092987,0.117411,0.047828,0.002292,0.001234,0.179240,0.004655,0.023374,0.002368,0.119155,0.001570,0.001822,0.005253,0.021840,0.001078,0.069722,-0.000010,-0.000034,0.000328,-0.000129,-0.000102,-0.000194,0.000004,0.000082,-0.000532,0.001134,0.000844,-0.001597,-0.000676,-0.000706,-0.000831,-0.000473,-0.000036,-0.001182,-0.000553,0.000304,-0.000143,0.000005,0.000002,0.000001,0.000102,0.000018,0.000000,-0.000179,0.000003,0.000033,0.000040,-0.000142,0.000002,-0.000049,0.019847,0.039901,0.087921,0.037396,0.025854,0.196707,0.010972,0.038427,0.980744,0.506337,0.422904,0.330665,0.296447,0.255869,0.253435,0.226851,0.216386,0.208724,0.227806,0.224188,0.202542,0.001798,0.001580,0.076693,0.003824,0.035606,0.003069,0.054985,0.002913,0.002787,0.005515,0.014716,0.001394,0.018624,0.021364,0.058599,0.105121,0.042107,0.031128,0.193773,0.013231,0.039932,0.994084,0.526651,0.398614,0.338578,0.306055,0.265208,0.247414,0.244567,0.256751,0.238429,0.238729,0.238133,0.228894,0.002079,0.001841,0.071090,0.004236,0.046010,0.003027,0.054780,0.003711,0.003135,0.006844,0.014824,0.001706,0.018831,150.000000,0.105759,sad
